week,sow,datetime,pos_x,pos_y,pos_z,lat_deg,lon_deg,height_m,vel_x,vel_y,vel_z,att_roll,att_pitch,att_yaw
2046,357453.0,2019-03-28 03:17:33.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.0010000000000000005,0.006999999999999999,-1.3523897279821284e-11,0.774913,0.158687,289.96497999999997
2046,357454.0,2019-03-28 03:17:34.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.001,0.006,-1.1439225868631331e-11,0.77379,0.158638,289.964222
2046,357455.0,2019-03-28 03:17:35.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.0009999999999999998,0.003999999999999999,-9.407484123299947e-12,0.773264,0.158241,289.96326799999997
2046,357456.0,2019-03-28 03:17:36.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.0009999999999999998,0.0019999999999999996,-5.238141951441344e-12,0.772523,0.157787,289.963267
2046,357457.0,2019-03-28 03:17:37.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.0009999999999999998,0.0019999999999999996,-5.238141951441344e-12,0.772012,0.15714,289.962574
2046,357458.0,2019-03-28 03:17:38.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,5.421010862427522e-20,0.001,-2.0846709775090844e-12,0.771376,0.157099,289.962006
2046,357459.0,2019-03-28 03:17:39.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-1.0687999151080124e-12,2.0846711401394102e-12,0.001,0.770881,0.156624,289.961103
2046,357460.0,2019-03-28 03:17:40.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,1.0687999151080124e-12,-2.0846711401394102e-12,-0.001,0.770628,0.156752,289.9607
2046,357461.0,2019-03-28 03:17:41.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.0009999999999999998,0.0009999999999999996,-3.1534709739322597e-12,0.77021,0.15588,289.960083
2046,357462.0,2019-03-28 03:17:42.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,1.0687998880029581e-12,-0.001000000002084671,-0.000999999997915329,0.76985,0.155314,289.95923600000003
2046,357463.0,2019-03-28 03:17:43.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-1.0687999422130667e-12,-0.0009999999979153288,0.001000000002084671,0.769508,0.155076,289.958643
2046,357464.0,2019-03-28 03:17:44.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,1.0687999422130667e-12,0.0009999999979153288,-0.001000000002084671,0.768834,0.154629,289.95779600000003
2046,357465.0,2019-03-28 03:17:45.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.0010000000010687998,-2.0846709775090844e-12,-0.0009999999989312,0.768332,0.154487,289.956879
2046,357466.0,2019-03-28 03:17:46.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,1.0687999422130667e-12,0.0009999999979153288,-0.001000000002084671,0.768236,0.154244,289.956168
2046,357467.0,2019-03-28 03:17:47.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,2.137599830216025e-12,-4.1693422802788205e-12,-0.002,0.768138,0.153982,289.955599
2046,357468.0,2019-03-28 03:17:48.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.0009999999989312002,-2.0846712485596275e-12,-0.0010000000010687998,0.76828,0.153836,289.954806
2046,357469.0,2019-03-28 03:17:49.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-5.421010862427522e-20,-0.001,2.0846709775090844e-12,0.768809,0.153741,289.954332
2046,357470.0,2019-03-28 03:17:50.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.001,-0.002,3.1005420670152106e-12,0.768748,0.153345,289.953551
2046,357471.0,2019-03-28 03:17:51.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-1.0842021724855044e-19,-0.002,4.169341955018169e-12,0.768785,0.1529,289.953263
2046,357472.0,2019-03-28 03:17:52.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.0010000000021375996,-0.001000000004169342,-0.001999999996846529,0.771165,0.149885,289.952263
2046,357473.0,2019-03-28 03:17:53.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,5.421010862427522e-20,0.001,-2.0846709775090844e-12,0.774957,0.144397,289.95027
2046,357474.0,2019-03-28 03:17:54.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,5.421010862427522e-20,0.001,-2.0846709775090844e-12,0.778186,0.140403,289.94858
2046,357475.0,2019-03-28 03:17:55.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.0009999999989312,0.0010000000020846712,0.000999999998984129,0.782321,0.137111,289.948448
2046,357476.0,2019-03-28 03:17:56.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,2.1375998844261335e-12,0.0019999999958306577,-0.002000000004169342,0.767172,0.148655,289.95070499999997
2046,357477.0,2019-03-28 03:17:57.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,0.006000000002137599,0.0019999999958306577,-0.001999999997756543,0.809785,0.104186,289.942657
2046,357478.0,2019-03-28 03:17:58.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.009999999994655999,-0.004000000010423355,-0.005000000002349314,0.814991,0.090456,289.945652
2046,357479.0,2019-03-28 03:17:59.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.008999999996793597,-0.004000000006254013,-0.003000000001280515,0.792704,0.115543,289.943491
2046,357480.0,2019-03-28 03:18:00.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,2.137599667585699e-12,-0.001000000004169342,-0.001999999997915329,0.776376,0.135866,289.944661
2046,357481.0,2019-03-28 03:18:01.000000,-2408694.4740000004,4698106.45,3566698.3650000007,34.22029149639417,117.14397576366628,35.578496700152755,-0.001,-0.0029999999999999996,5.185213152944512e-12,0.769218,0.143514,289.948537
