# timestamp [ns],w_x [rad s^-1],w_y [rad s^-1],w_z [rad s^-1],a_x [m s^-2],a_y [m s^-2],a_z [m s^-2]
# Coordinate system: Right-Front-Up (X: Right, Y: Front, Z: Up)
1292541619280000000,-0.000010620,-0.000019888,0.000105785,-0.264429613,-0.941641955,9.746551037
1292541619284999999,-0.000009835,-0.000021540,0.000097958,-0.264445307,-0.941608886,9.746553807
1292541619289999999,-0.000009049,-0.000023191,0.000090132,-0.264461000,-0.941575817,9.746556577
1292541619294999999,-0.000008263,-0.000024842,0.000082305,-0.264476694,-0.941542748,9.746559347
1292541619299999999,-0.000007477,-0.000026494,0.000074478,-0.264492388,-0.941509679,9.746562117
1292541619304999999,-0.000005950,-0.000025496,0.000059203,-0.264383020,-0.941300818,9.746585203
1292541619309999999,-0.000004423,-0.000024498,0.000043928,-0.264273652,-0.941091958,9.746608289
1292541619315000000,-0.000002895,-0.000023501,0.000028653,-0.264164285,-0.940883097,9.746631375
1292541619320000000,-0.000001368,-0.000022503,0.000013378,-0.264054917,-0.940674236,9.746654461
1292541619325000000,0.000000160,-0.000021505,-0.000001897,-0.263945549,-0.940465375,9.746677547
1292541619330000000,0.000001687,-0.000020508,-0.000017172,-0.263836181,-0.940256515,9.746700633
1292541619335000000,0.000003214,-0.000019510,-0.000032447,-0.263726814,-0.940047654,9.746723718
1292541619340000000,0.000004742,-0.000018512,-0.000047722,-0.263617446,-0.939838793,9.746746804
1292541619344999999,0.000006269,-0.000017515,-0.000062997,-0.263508078,-0.939629932,9.746769890
1292541619349999999,0.000007796,-0.000016517,-0.000078272,-0.263398711,-0.939421072,9.746792976
1292541619354999999,0.000009324,-0.000015519,-0.000093547,-0.263289343,-0.939212211,9.746816062
1292541619359999999,0.000010851,-0.000014521,-0.000108823,-0.263179975,-0.939003350,9.746839148
1292541619364999999,0.000012378,-0.000013524,-0.000124098,-0.263070607,-0.938794489,9.746862234
1292541619369999999,0.000013906,-0.000012526,-0.000139373,-0.262961240,-0.938585629,9.746885320
1292541619375000000,0.000015433,-0.000011528,-0.000154648,-0.262851872,-0.938376768,9.746908406
1292541619380000000,0.000016961,-0.000010531,-0.000169923,-0.262742504,-0.938167907,9.746931492
1292541619385000000,0.000018488,-0.000009533,-0.000185198,-0.262633136,-0.937959046,9.746954578
1292541619390000000,0.000020015,-0.000008535,-0.000200473,-0.262523769,-0.937750186,9.746977663
1292541619395000000,0.000021543,-0.000007538,-0.000215748,-0.262414401,-0.937541325,9.747000749
1292541619400000000,0.000023070,-0.000006540,-0.000231023,-0.262305033,-0.937332464,9.747023835
1292541619405000000,0.000022290,-0.000004889,-0.000223196,-0.262630489,-0.937471152,9.747001611
1292541619409999999,0.000021510,-0.000003237,-0.000215368,-0.262955944,-0.937609840,9.746979387
1292541619414999999,0.000020730,-0.000001586,-0.000207541,-0.263281399,-0.937748529,9.746957163
1292541619419999999,0.000019950,0.000000066,-0.000199714,-0.263606855,-0.937887217,9.746934939
1292541619424999999,0.000019169,0.000001717,-0.000191887,-0.263932310,-0.938025905,9.746912715
1292541619429999999,0.000018389,0.000003368,-0.000184059,-0.264257765,-0.938164593,9.746890490
1292541619434999999,0.000017609,0.000005020,-0.000176232,-0.264583220,-0.938303281,9.746868266
1292541619440000000,0.000016829,0.000006671,-0.000168405,-0.264908676,-0.938441969,9.746846042
1292541619445000000,0.000016049,0.000008322,-0.000160577,-0.265234131,-0.938580657,9.746823818
1292541619450000000,0.000015269,0.000009974,-0.000152750,-0.265559586,-0.938719346,9.746801594
1292541619455000000,0.000014489,0.000011625,-0.000144923,-0.265885042,-0.938858034,9.746779370
1292541619460000000,0.000013708,0.000013277,-0.000137096,-0.266210497,-0.938996722,9.746757145
1292541619465000000,0.000012928,0.000014928,-0.000129268,-0.266535952,-0.939135410,9.746734921
1292541619469999999,0.000012148,0.000016579,-0.000121441,-0.266861408,-0.939274098,9.746712697
1292541619474999999,0.000011368,0.000018231,-0.000113614,-0.267186863,-0.939412786,9.746690473
1292541619479999999,0.000010588,0.000019882,-0.000105787,-0.267512318,-0.939551474,9.746668249
1292541619484999999,0.000009808,0.000021533,-0.000097959,-0.267837774,-0.939690163,9.746646025
1292541619489999999,0.000009028,0.000023185,-0.000090132,-0.268163229,-0.939828851,9.746623800
1292541619494999999,0.000008248,0.000024836,-0.000082305,-0.268488684,-0.939967539,9.746601576
1292541619500000000,0.000007467,0.000026487,-0.000074477,-0.268814139,-0.940106227,9.746579352
1292541619505000000,0.000005934,0.000025490,-0.000059203,-0.268582340,-0.940209409,9.746575727
1292541619510000000,0.000004401,0.000024492,-0.000043928,-0.268350540,-0.940312591,9.746572101
1292541619515000000,0.000002868,0.000023494,-0.000028654,-0.268118741,-0.940415773,9.746568475
1292541619520000000,0.000001335,0.000022497,-0.000013379,-0.267886941,-0.940518955,9.746564850
1292541619525000000,-0.000000198,0.000021499,0.000001895,-0.267655141,-0.940622137,9.746561224
1292541619530000000,-0.000001731,0.000020501,0.000017170,-0.267423342,-0.940725319,9.746557599
1292541619534999999,-0.000003264,0.000019504,0.000032444,-0.267191542,-0.940828501,9.746553973
1292541619539999999,-0.000004797,0.000018506,0.000047719,-0.266959742,-0.940931683,9.746550348
1292541619544999999,-0.000006330,0.000017508,0.000062993,-0.266727943,-0.941034866,9.746546722
1292541619549999999,-0.000007863,0.000016511,0.000078268,-0.266496143,-0.941138048,9.746543096
1292541619554999999,-0.000009396,0.000015513,0.000093542,-0.266264343,-0.941241230,9.746539471
1292541619559999999,-0.000010929,0.000014515,0.000108817,-0.266032544,-0.941344412,9.746535845
1292541619565000000,-0.000012462,0.000013517,0.000124091,-0.265800744,-0.941447594,9.746532220
1292541619570000000,-0.000013995,0.000012520,0.000139366,-0.265568944,-0.941550776,9.746528594
1292541619575000000,-0.000015528,0.000011522,0.000154640,-0.265337145,-0.941653958,9.746524969
1292541619580000000,-0.000017061,0.000010524,0.000169915,-0.265105345,-0.941757140,9.746521343
1292541619585000000,-0.000018594,0.000009527,0.000185189,-0.264873546,-0.941860322,9.746517717
1292541619590000000,-0.000020127,0.000008529,0.000200464,-0.264641746,-0.941963504,9.746514092
1292541619594999999,-0.000021660,0.000007531,0.000215738,-0.264409946,-0.942066686,9.746510466
1292541619599999999,-0.000023193,0.000006534,0.000231013,-0.264178147,-0.942169868,9.746506841
1292541619604999999,-0.000022033,0.000006207,0.000219462,-0.264201298,-0.942163348,9.746506842
1292541619609999999,-0.000020873,0.000005880,0.000207912,-0.264224449,-0.942156828,9.746506844
1292541619614999999,-0.000019714,0.000005553,0.000196361,-0.264247600,-0.942150308,9.746506845
1292541619619999999,-0.000018554,0.000005226,0.000184811,-0.264270752,-0.942143788,9.746506847
1292541619625000000,-0.000017395,0.000004899,0.000173260,-0.264293903,-0.942137268,9.746506848
1292541619630000000,-0.000016235,0.000004572,0.000161709,-0.264317054,-0.942130748,9.746506850
1292541619635000000,-0.000015075,0.000004246,0.000150159,-0.264340205,-0.942124228,9.746506851
1292541619640000000,-0.000013916,0.000003919,0.000138608,-0.264363357,-0.942117708,9.746506853
1292541619645000000,-0.000012756,0.000003592,0.000127058,-0.264386508,-0.942111188,9.746506855
1292541619650000000,-0.000011596,0.000003265,0.000115507,-0.264409659,-0.942104668,9.746506856
1292541619655000000,-0.000010437,0.000002938,0.000103956,-0.264432810,-0.942098148,9.746506858
1292541619659999999,-0.000009277,0.000002611,0.000092406,-0.264455962,-0.942091628,9.746506859
1292541619664999999,-0.000008117,0.000002285,0.000080855,-0.264479113,-0.942085108,9.746506861
1292541619669999999,-0.000006958,0.000001958,0.000069305,-0.264502264,-0.942078588,9.746506862
1292541619674999999,-0.000005798,0.000001631,0.000057754,-0.264525415,-0.942072068,9.746506864
1292541619679999999,-0.000004639,0.000001304,0.000046203,-0.264548567,-0.942065548,9.746506865
1292541619684999999,-0.000003479,0.000000977,0.000034653,-0.264571718,-0.942059028,9.746506867
1292541619690000000,-0.000002319,0.000000650,0.000023102,-0.264594869,-0.942052508,9.746506868
1292541619695000000,-0.000001160,0.000000324,0.000011552,-0.264618020,-0.942045988,9.746506870
1292541619700000000,-0.000000000,-0.000000003,0.000000001,-0.264641172,-0.942039468,9.746506871
1292541619705000000,-0.000000374,-0.000001328,0.000003725,-0.264633709,-0.942012904,9.746509642
1292541619710000000,-0.000000748,-0.000002652,0.000007449,-0.264626247,-0.941986340,9.746512412
1292541619715000000,-0.000001122,-0.000003977,0.000011173,-0.264618784,-0.941959776,9.746515182
1292541619719999999,-0.000001496,-0.000005301,0.000014896,-0.264611321,-0.941933212,9.746517952
1292541619724999999,-0.000001869,-0.000006626,0.000018620,-0.264603859,-0.941906648,9.746520722
1292541619729999999,-0.000002243,-0.000007950,0.000022344,-0.264596396,-0.941880084,9.746523492
1292541619734999999,-0.000002617,-0.000009275,0.000026068,-0.264588933,-0.941853520,9.746526262
1292541619739999999,-0.000002991,-0.000010600,0.000029792,-0.264581471,-0.941826956,9.746529032
1292541619744999999,-0.000003365,-0.000011924,0.000033516,-0.264574008,-0.941800392,9.746531802
1292541619750000000,-0.000003739,-0.000013249,0.000037240,-0.264566546,-0.941773828,9.746534573
1292541619755000000,-0.000004113,-0.000014573,0.000040963,-0.264559083,-0.941747264,9.746537343
1292541619760000000,-0.000004486,-0.000015898,0.000044687,-0.264551620,-0.941720700,9.746540113
1292541619765000000,-0.000004860,-0.000017222,0.000048411,-0.264544158,-0.941694136,9.746542883
1292541619770000000,-0.000005234,-0.000018547,0.000052135,-0.264536695,-0.941667572,9.746545653
1292541619775000000,-0.000005608,-0.000019871,0.000055859,-0.264529233,-0.941641008,9.746548423
1292541619780000000,-0.000005982,-0.000021196,0.000059583,-0.264521770,-0.941614444,9.746551193
1292541619784999999,-0.000006356,-0.000022520,0.000063307,-0.264514307,-0.941587881,9.746553963
1292541619789999999,-0.000006730,-0.000023845,0.000067030,-0.264506845,-0.941561317,9.746556733
1292541619794999999,-0.000007103,-0.000025169,0.000070754,-0.264499382,-0.941534753,9.746559504
1292541619799999999,-0.000007477,-0.000026494,0.000074478,-0.264491920,-0.941508189,9.746562274
1292541619804999999,-0.000005950,-0.000025496,0.000059203,-0.264382552,-0.941299327,9.746585360
1292541619809999999,-0.000004423,-0.000024498,0.000043928,-0.264273184,-0.941090466,9.746608446
1292541619815000000,-0.000002895,-0.000023501,0.000028653,-0.264163817,-0.940881605,9.746631532
1292541619820000000,-0.000001368,-0.000022503,0.000013378,-0.264054449,-0.940672744,9.746654617
1292541619825000000,0.000000160,-0.000021505,-0.000001897,-0.263945081,-0.940463883,9.746677703
1292541619830000000,0.000001687,-0.000020508,-0.000017172,-0.263835714,-0.940255022,9.746700789
1292541619835000000,0.000003214,-0.000019510,-0.000032447,-0.263726346,-0.940046161,9.746723875
1292541619840000000,0.000004742,-0.000018512,-0.000047722,-0.263616978,-0.939837300,9.746746961
1292541619844999999,0.000006269,-0.000017514,-0.000062997,-0.263507611,-0.939628439,9.746770047
1292541619849999999,0.000007796,-0.000016517,-0.000078272,-0.263398243,-0.939419578,9.746793133
1292541619854999999,0.000009324,-0.000015519,-0.000093547,-0.263288876,-0.939210717,9.746816219
1292541619859999999,0.000010851,-0.000014521,-0.000108822,-0.263179508,-0.939001856,9.746839305
1292541619864999999,0.000012378,-0.000013523,-0.000124098,-0.263070140,-0.938792995,9.746862391
1292541619869999999,0.000013906,-0.000012526,-0.000139373,-0.262960773,-0.938584134,9.746885477
1292541619875000000,0.000015433,-0.000011528,-0.000154648,-0.262851405,-0.938375273,9.746908563
1292541619880000000,0.000016961,-0.000010530,-0.000169923,-0.262742037,-0.938166412,9.746931649
1292541619885000000,0.000018488,-0.000009533,-0.000185198,-0.262632670,-0.937957551,9.746954735
1292541619890000000,0.000020015,-0.000008535,-0.000200473,-0.262523302,-0.937748689,9.746977821
1292541619895000000,0.000021543,-0.000007537,-0.000215748,-0.262413935,-0.937539828,9.747000907
1292541619900000000,0.000023070,-0.000006539,-0.000231023,-0.262304567,-0.937330967,9.747023993
1292541619905000000,0.000022290,-0.000004888,-0.000223196,-0.262630023,-0.937469661,9.747001768
1292541619909999999,0.000021510,-0.000003237,-0.000215368,-0.262955480,-0.937608355,9.746979543
1292541619914999999,0.000020730,-0.000001585,-0.000207541,-0.263280936,-0.937747049,9.746957319
1292541619919999999,0.000019949,0.000000066,-0.000199714,-0.263606392,-0.937885743,9.746935094
1292541619924999999,0.000019169,0.000001717,-0.000191887,-0.263931849,-0.938024437,9.746912869
1292541619929999999,0.000018389,0.000003369,-0.000184059,-0.264257305,-0.938163131,9.746890644
1292541619934999999,0.000017609,0.000005020,-0.000176232,-0.264582761,-0.938301825,9.746868420
1292541619940000000,0.000016829,0.000006671,-0.000168405,-0.264908218,-0.938440518,9.746846195
1292541619945000000,0.000016049,0.000008323,-0.000160577,-0.265233674,-0.938579212,9.746823970
1292541619950000000,0.000015269,0.000009974,-0.000152750,-0.265559130,-0.938717906,9.746801745
1292541619955000000,0.000014489,0.000011625,-0.000144923,-0.265884587,-0.938856600,9.746779521
1292541619960000000,0.000013708,0.000013277,-0.000137096,-0.266210043,-0.938995294,9.746757296
1292541619965000000,0.000012928,0.000014928,-0.000129268,-0.266535500,-0.939133988,9.746735071
1292541619969999999,0.000012148,0.000016580,-0.000121441,-0.266860956,-0.939272682,9.746712846
1292541619974999999,0.000011368,0.000018231,-0.000113614,-0.267186412,-0.939411376,9.746690622
1292541619979999999,0.000010588,0.000019882,-0.000105787,-0.267511869,-0.939550069,9.746668397
1292541619984999999,0.000009808,0.000021534,-0.000097959,-0.267837325,-0.939688763,9.746646172
1292541619989999999,0.000009028,0.000023185,-0.000090132,-0.268162781,-0.939827457,9.746623947
1292541619994999999,0.000008247,0.000024836,-0.000082305,-0.268488238,-0.939966151,9.746601723
1292541620000000000,0.000007467,0.000026488,-0.000074478,-0.268813694,-0.940104845,9.746579498
1292541620005000000,0.000005934,0.000025490,-0.000059203,-0.268581894,-0.940208022,9.746575873
1292541620010000000,0.000004401,0.000024492,-0.000043928,-0.268350093,-0.940311200,9.746572248
